   -0.5000000000E+03    0.5159880002E-07
   -0.4997795374E+03    0.5282067545E-07
   -0.4995590747E+03    0.5403002210E-07
   -0.4993386121E+03    0.5522559592E-07
   -0.4991181494E+03    0.5640613496E-07
   -0.4988976868E+03    0.5757035999E-07
   -0.4986772241E+03    0.5871697513E-07
   -0.4984567615E+03    0.5984466848E-07
   -0.4982362989E+03    0.6095211282E-07
   -0.4980158362E+03    0.6203796633E-07
   -0.4977953736E+03    0.6310087329E-07
   -0.4975749109E+03    0.6413946489E-07
   -0.4973544483E+03    0.6515236000E-07
   -0.4971339856E+03    0.6613816598E-07
   -0.4969135230E+03    0.6709547959E-07
   -0.4966930604E+03    0.6802288776E-07
   -0.4964725977E+03    0.6891896863E-07
   -0.4962521351E+03    0.6978229235E-07
   -0.4960316724E+03    0.7061142216E-07
   -0.4958112098E+03    0.7140491528E-07
   -0.4955907472E+03    0.7216132401E-07
   -0.4953702845E+03    0.7287919668E-07
   -0.4951498219E+03    0.7355707884E-07
   -0.4949293592E+03    0.7419351422E-07
   -0.4947088966E+03    0.7478704598E-07
   -0.4944884339E+03    0.7533621777E-07
   -0.4942679713E+03    0.7583957494E-07
   -0.4940475087E+03    0.7629566573E-07
   -0.4938270460E+03    0.7670304250E-07
   -0.4936065834E+03    0.7706026299E-07
   -0.4933861207E+03    0.7736589157E-07
   -0.4931656581E+03    0.7761850055E-07
   -0.4929451954E+03    0.7781667147E-07
   -0.4927247328E+03    0.7795899651E-07
   -0.4925042702E+03    0.7804407978E-07
   -0.4922838075E+03    0.7807053873E-07
   -0.4920633449E+03    0.7803700557E-07
   -0.4918428822E+03    0.7794212869E-07
   -0.4916224196E+03    0.7778457408E-07
   -0.4914019569E+03    0.7756302681E-07
   -0.4911814943E+03    0.7727619251E-07
   -0.4909610317E+03    0.7692279887E-07
   -0.4907405690E+03    0.7650159713E-07
   -0.4905201064E+03    0.7601136364E-07
   -0.4902996437E+03    0.7545090138E-07
   -0.4900791811E+03    0.7481904151E-07
   -0.4898587185E+03    0.7411464496E-07
   -0.4896382558E+03    0.7333660398E-07
   -0.4894177932E+03    0.7248384375E-07
   -0.4891973305E+03    0.7155532397E-07
   -0.4889768679E+03    0.7055004047E-07
   -0.4887564052E+03    0.6946702681E-07
   -0.4885359426E+03    0.6830535592E-07
   -0.4883154800E+03    0.6706414169E-07
   -0.4880950173E+03    0.6574254065E-07
   -0.4878745547E+03    0.6433975353E-07
   -0.4876540920E+03    0.6285502694E-07
   -0.4874336294E+03    0.6128765501E-07
   -0.4872131667E+03    0.5963698095E-07
   -0.4869927041E+03    0.5790239874E-07
   -0.4867722415E+03    0.5608335473E-07
   -0.4865517788E+03    0.5417934925E-07
   -0.4863313162E+03    0.5218993822E-07
   -0.4861108535E+03    0.5011473475E-07
   -0.4858903909E+03    0.4795341071E-07
