  -1.6000000000000001           (-0.87472254373173430,-2.27695502055764887E-015)        (0.39381885235325204,9.61321370563967269E-013)             (-0.89887640449438200,0.0000000000000000)
  -1.5967935871743488           (-0.87573553517166658,-4.20859391963746172E-015)       (0.39271016372278356,-2.35646513823161727E-014)             (-0.89966543847634461,0.0000000000000000)
  -1.5935871743486976           (-0.87674919981297617,-3.42325611903890733E-015)       (0.39159299684759175,-8.15552365712641306E-013)             (-0.90045381143100489,0.0000000000000000)
  -1.5903807615230461           (-0.87776352367375410,-1.21629492563852846E-015)       (0.39046731059523010,-8.89285734392541643E-013)             (-0.90124150383096557,0.0000000000000000)
  -1.5871743486973948            (-0.87877849257801655,1.69709522896646006E-015)       (0.38933306380413868,-4.86042178678639660E-013)             (-0.90202849594586121,0.0000000000000000)
  -1.5839679358717436            (-0.87979409215266813,4.64029715136374073E-015)       (0.38819021528337150,-1.65100457263360504E-014)             (-0.90281476784056125,0.0000000000000000)
  -1.5807615230460923            (-0.88081030782442082,5.66712616032649548E-015)        (0.38703872381316246,3.60346148245940260E-013)             (-0.90360029937336095,0.0000000000000000)
  -1.5775551102204410            (-0.88182712481669101,3.33911268766826546E-015)        (0.38587854814704015,5.86345042733645026E-013)             (-0.90438507019415693,0.0000000000000000)
  -1.5743486973947898           (-0.88284452814646763,-6.63904026024200956E-016)        (0.38470964701369859,5.78594130790109716E-013)             (-0.90516905974261175,0.0000000000000000)
  -1.5711422845691383           (-0.88386250262114319,-3.40130471656140837E-015)        (0.38353197911728837,3.47357459730168801E-013)             (-0.90595224724630263,0.0000000000000000)
  -1.5679358717434870           (-0.88488103283530406,-4.17917204846370527E-015)       (0.38234550313752591,-4.43515999447838966E-016)             (-0.90673461171885861,0.0000000000000000)
  -1.5647294589178358           (-0.88590010316749346,-4.27604450747661850E-015)       (0.38115017773146498,-3.72465325624890731E-013)             (-0.90751613195808234,0.0000000000000000)
  -1.5615230460921845           (-0.88691969777694679,-3.80803787017403281E-015)       (0.37994596153619864,-6.27368858170408367E-013)             (-0.90829678654405999,0.0000000000000000)
  -1.5583166332665332           (-0.88793980060029676,-1.91986055711759484E-015)       (0.37873281317050722,-5.15477960852178445E-013)             (-0.90907655383725539,0.0000000000000000)
  -1.5551102204408818            (-0.88896039534824589,4.31137904783345834E-016)        (0.37751069123530295,5.64768424841133511E-014)             (-0.90985541197659237,0.0000000000000000)
  -1.5519038076152305            (-0.88998146550219004,8.56644219319813048E-016)        (0.37627955431427412,7.29266078993852400E-013)             (-0.91063333887752274,0.0000000000000000)
  -1.5486973947895792           (-0.89100299431084085,-1.07584986866856386E-015)        (0.37503936097556106,8.82615658069792648E-013)             (-0.91141031223007929,0.0000000000000000)
  -1.5454909819639280           (-0.89202496478679327,-2.74512763892496100E-015)        (0.37379006977404106,2.24171926301933785E-013)             (-0.91218630949691715,0.0000000000000000)
  -1.5422845691382767           (-0.89304735970308002,-1.89061555558090569E-015)       (0.37253163925384525,-8.09983629217443382E-013)             (-0.91296130791133889,0.0000000000000000)
  -1.5390781563126252            (-0.89407016158967778,1.03970207535888392E-015)       (0.37126402795068580,-1.28422661161621904E-012)             (-0.91373528447530772,0.0000000000000000)
  -1.5358717434869740            (-0.89509335273001922,3.61938422880030752E-015)       (0.36998719439339162,-6.03872228608910054E-013)             (-0.91450821595744547,0.0000000000000000)
  -1.5326653306613227            (-0.89611691515743574,3.65893564988933016E-015)        (0.36870109710475679,7.01127371670699273E-013)             (-0.91528007889101692,0.0000000000000000)
  -1.5294589178356714            (-0.89714083065160199,8.27525924038460404E-016)        (0.36740569460292577,1.29277884528624243E-012)             (-0.91605084957190064,0.0000000000000000)
  -1.5262525050100202           (-0.89816508073492229,-2.57011206253935616E-015)        (0.36610094540423205,4.97049918699446906E-013)             (-0.91682050405654492,0.0000000000000000)
  -1.5230460921843689           (-0.89918964666891799,-2.96040102039644911E-015)       (0.36478680802661934,-7.64830850348984965E-013)             (-0.91758901815991034,0.0000000000000000)
  -1.5198396793587174            (-0.90021450945058057,4.63780446076130553E-016)       (0.36346324099230604,-1.03197505067768143E-012)             (-0.91835636745339777,0.0000000000000000)
  -1.5166332665330662            (-0.90123964980868754,4.19676213149924158E-015)       (0.36213020282957420,-1.30092929613838546E-013)             (-0.91912252726276267,0.0000000000000000)
  -1.5134268537074149            (-0.90226504820010589,4.39112106089164717E-015)        (0.36078765207454894,7.15775821684342358E-013)             (-0.91988747266601534,0.0000000000000000)
  -1.5102204408817637            (-0.90329068480606411,1.61177776034849917E-015)        (0.35943554727351390,5.68304825224904037E-013)             (-0.92065117849130651,0.0000000000000000)
  -1.5070140280561124           (-0.90431653952839930,-5.33165796511626026E-016)       (0.35807384698580869,-1.71538768531958382E-013)             (-0.92141361931479848,0.0000000000000000)
  -1.5038076152304609           (-0.90534259198576983,-5.03124076131813090E-016)       (0.35670250978733287,-5.68048137062935943E-013)             (-0.92217476945852406,0.0000000000000000)
  -1.5006012024048097            (-0.90636882150986164,7.39484564175141379E-017)       (0.35532149427416632,-3.03614525864909916E-013)             (-0.92293460298822860,0.0000000000000000)
  -1.4973947895791584           (-0.90739520714156141,-4.00951011390823606E-016)        (0.35393075906533883,2.85172000756231830E-013)             (-0.92369309371119979,0.0000000000000000)
  -1.4941883767535071           (-0.90842172762711204,-1.69242007787502209E-015)        (0.35253026280467881,7.34849627802435540E-013)             (-0.92445021517408255,0.0000000000000000)
  -1.4909819639278559           (-0.90944836141423635,-3.09090667528483457E-015)        (0.35111996416315938,6.70013427719856841E-013)             (-0.92520594066067974,0.0000000000000000)
  -1.4877755511022044           (-0.91047508664823984,-3.72085920874878577E-015)       (0.34969982184284437,-7.43879194930184308E-015)             (-0.92596024318973891,0.0000000000000000)
  -1.4845691382765531           (-0.91150188116808695,-2.44616833135309956E-015)       (0.34826979458166152,-7.97269908615159425E-013)             (-0.92671309551272452,0.0000000000000000)
  -1.4813627254509019            (-0.91252872250248551,7.22517070897550840E-016)       (0.34682984115738680,-9.07257040400518027E-013)             (-0.92746447011157562,0.0000000000000000)
  -1.4781563126252506            (-0.91355558786591529,3.43206434638344707E-015)       (0.34537992039043619,-2.08286933895513617E-013)             (-0.92821433919645091,0.0000000000000000)
  -1.4749498997995993            (-0.91458245415465134,3.25655551182152502E-015)        (0.34391999114652316,5.17749503636640094E-013)             (-0.92896267470345784,0.0000000000000000)
  -1.4717434869739481            (-0.91560929794277224,8.80427103763391820E-016)        (0.34245001234021055,5.76803552179363789E-013)             (-0.92970944829236801,0.0000000000000000)
  -1.4685370741482966           (-0.91663609547813629,-1.10863716682858266E-015)        (0.34096994293942839,1.77456299803735464E-013)             (-0.93045463134431938,0.0000000000000000)
  -1.4653306613226453           (-0.91766282267834054,-1.84682297423698510E-015)       (0.33947974197031355,-7.72423984461964311E-014)             (-0.93119819495950273,0.0000000000000000)
