  -1.6000000000000001            (-0.88611765399668563,6.35169506238801878E-015)        (0.77262976007338569,3.79961203288982292E-012)             (-0.89887640449438200,0.0000000000000000)
  -1.5995786146958126            (-0.88623575372781371,1.11576625622368643E-015)        (0.77267108627244530,2.61097562881921138E-012)             (-0.89898013601728599,0.0000000000000000)
  -1.5991572293916250           (-0.88635385370784858,-3.74432744502052094E-015)        (0.77271236821905942,1.37176125464628210E-012)             (-0.89908385641392252,0.0000000000000000)
  -1.5987358440874375           (-0.88647195389943012,-8.00067624964820783E-015)        (0.77275360585679009,2.86461883417526880E-013)             (-0.89918756564056390,0.0000000000000000)
  -1.5983144587832501           (-0.88659005426513648,-1.11025908075867943E-014)       (0.77279479912922810,-4.83820839093068405E-013)             (-0.89929126365342249,0.0000000000000000)
  -1.5978930734790624           (-0.88670815476748788,-1.29982696195791070E-014)       (0.77283594797996658,-8.40981327698325131E-013)             (-0.89939495040865125,0.0000000000000000)
  -1.5974716881748749           (-0.88682625536894233,-1.37058407862756884E-014)       (0.77287705235257409,-7.59869457337024944E-013)             (-0.89949862586234341,0.0000000000000000)
  -1.5970503028706875           (-0.88694435603190058,-1.31165518920943904E-014)       (0.77291811219054274,-2.85494813069345810E-013)             (-0.89960228997053193,0.0000000000000000)
  -1.5966289175665000           (-0.88706245671870476,-1.14782923835872773E-014)        (0.77295912743728634,4.77829027213700652E-013)             (-0.89970594268919024,0.0000000000000000)
  -1.5962075322623124           (-0.88718055739163049,-9.08216515152802900E-015)        (0.77300009803609770,1.38706867571087440E-012)             (-0.89980958397423183,0.0000000000000000)
  -1.5957861469581249           (-0.88729865801289898,-6.19753323532711829E-015)        (0.77304102393015062,2.28475589543962818E-012)             (-0.89991321378150990,0.0000000000000000)
  -1.5953647616539375           (-0.88741675854466939,-3.22654994768929580E-015)        (0.77308190506248509,3.02272337757620898E-012)             (-0.90001683206681782,0.0000000000000000)
  -1.5949433763497498           (-0.88753485894904161,-5.04504172901563877E-016)        (0.77312274137603187,3.48478549725477452E-012)             (-0.90012043878588854,0.0000000000000000)
  -1.5945219910455624            (-0.88765295918805420,1.74130763522963496E-015)        (0.77316353281362382,3.60160247600876224E-012)             (-0.90022403389439498,0.0000000000000000)
  -1.5941006057413749            (-0.88777105922368371,3.36339985473691667E-015)        (0.77320427931801317,3.35783489155624092E-012)             (-0.90032761734794942,0.0000000000000000)
  -1.5936792204371872            (-0.88788915901785015,3.91382833566859456E-015)        (0.77324498083189130,2.78891512956171267E-012)             (-0.90043118910210418,0.0000000000000000)
